Gender,Height,Weight,Index,,,female,male
Fema   le,15    8,89,4,,,158,158
Fema   le,15    8,89,4,,,158,158
Female,178,127,4,,,178,178
Female,none,139,5,,,none,none
Female,none,104,5,,,181,181
Femal   e,147,68,2,,,147,147
Female,1   42,92,4,,,142,142
Fe   male,146,10     8,4,,,146,146
Female,173,130,5,,,173,173
F   emale,170,71,4,,,170,170
Female,190,153,5,,,1  90,190
Female,1     68,108,3,,,168,168
Female,153,1   07,4,,,153,153
Female,162,57,2,,,none,162
Female,185,64,3,,,none,185
Female,192,80,2,,,none,192
Female,169,12     6,5,,,none,169
Female,172,159,5,,,172,172
Female,172,155,5,,,172,172
Female,147,104,5,,,147,147
Female,162,56,2,,,162,162
Female,152,82,2,,,152,152
Female,165,102,4,,,165,165
Female,157,118,4,,,157,157
Female,186,140,5,,,186,186
Female,195,78,2,,,195,195
Female,141,123,4,,,141,141
Female,191,64,2,,,191,191
Female,195,78,2,,,195,195
Female,150,104,4,,,150,150
Female,153,115,4,,,153,153
Female,181,102,3,,,181,181
Female,179,52,1,,,179,179
Female,none,90,2,,,177,177
Female,185,142,5,,,185,185
Female,163,103,5,,,none,163
Female,147,54,2,,,147,147
Female,167,127,5,,,167,167
Female,187,none,4,,,187,187
Female,183,none,2,,,183,183
Female,167,none,5,,,167,167
Female,168,none,5,,,168,168
Female,150,none,4,,,150,150
Female,none,96,3,,,none,none
Female,170,107,5,,,170,170
Female,150,119,4,,,150,150
Female,195,159,5,,,195,195
Female,195,159,5,,,195,195
Female,187,139,5,,,187,187
Female,188,139,5,,,188,188
Female,194,90,4,,,194,194
Female,150,131,5,,,150,150
Female,186,141,4,,,186,186
Female,182,104,3,,,182,182
Female,171,57,2,,,171,171
Female,185,76,2,,,185,185
Female,none,110,5,,,none,none
Female,180,56,1,,,180,180
Female,176,143,5,,,176,176
Female,162,104,3,,,162,162
Female,155,126,5,,,155,155
Female,197,141,5,,,197,197
Female,184,54,0,,,184,184
Female,183,70,4,,,183,183
Female,166,95,4,,,166,166
Female,146,77,4,,,146,146
Female,185,152,5,,,185,185
Female,153,157,5,,,153,153
Female,193,112,5,,,193,193
Female,191,95,3,,,191,191
Female,189,111,5,,,189,189
Female,187,50,0,,,187,187
Female,196,106,4,,,196,196
Female,181,80,4,,,181,181
Female,183,none,5,,,183,183
Female,192,150,5,,,192,192
Female,198,108,5,,,198,198
Female,166,96,4,,,166,166
Female,171,119,4,,,171,171
Female,180,63,2,,,180,180
Female,156,117,4,,,156,156
Female,169,79,5,,,169,169
Female,167,67,4,,,167,167
Female,166,58,2,,,166,166
Female,140,108,5,,,140,140
Female,152,130,4,,,152,152
Female,183,94,3,,,183,183
Female,140,79,2,,,140,140
Female,176,85,4,,,176,176
Female,184,80,5,,,184,184
Female,146,59,2,,,146,146
Female,156,84,4,,,156,156
Female,187,67,3,,,187,187
Female,164,53,1,,,164,164
Female,192,144,5,,,192,192
Female,195,104,3,,,195,195
Female,186,121,4,,,186,186
Female,168,66,3,,,168,168
Female,155,90,3,,,155,155
Female,150,125,4,,,150,150
Female,168,66,3,,,168,168
Female,172,111,3,,,172,172
Female,186,60,3,,,186,186
Female,177,127,4,,,177,177
Female,180,142,5,,,180,180
Female,172,118,4,,,172,172
Female,190,114,5,,,190,190
Female,177,78,2,,,177,177
Female,169,143,5,,,169,169
Female,184,none,5,,,184,184
Female,168,120,5,,,168,168
Female,157,100,3,,,157,157
Female,145,55,2,,,145,145
Female,177,58,1,,,177,177
Female,148,70,3,,,148,148
Female,167,156,5,,,167,167
Female,169,147,5,,,169,169
Female,182,82,4,,,182,182
Female,179,58,2,,,179,179
Female,167,50,0,,,167,167
Female,192,137,5,,,192,192
Female,189,144,5,,,189,189
Female,163,153,5,,,163,163
Female,149,78,4,,,149,149
Female,154,117,4,,,154,154
Female,170,83,3,,,170,170
Female,176,114,3,,,176,176
Female,188,74,4,,,188,188
Female,154,124,5,,,154,154
Female,166,152,5,,,166,166
Female,149,50,0,,,149,149
Female,147,153,5,,,147,147
Female,172,74,4,,,172,172
Female,146,88,5,,,146,146
Female,165,157,5,,,165,165
Female,196,140,5,,,196,196
Female,162,133,5,,,162,162
Female,171,92,5,,,171,171
Female,141,61,1,,,141,141
Fem   ale,195,68,2,,,195,195
Female,1  67,125,4,,,167,167
Female,186,102,3,,,186,186
Female,156,50,0,,,156,156
Female,180,94,3,,,180,180
Female,183,87,3,,,183,183
Female,16      4,108,3,,,164,164
Female,199,145,5,,,199,199
  Female,145,81,2,,,145,145
Female,186,120,5,,,186,186
Female,182,145,4,,,1  82,182
Female,175,140,5,,,175,175
Female,143,152,5,,,143,143
Female,178,60,2,,,178,178
Female,none,106,5,,,164,164
Female,196,109,3,,,196,196
Female,153,88,2,,,153,153
Female,175,79,3,,,175,175
Female,none,144,5,,,none,none
Female,184,76,4,,,184,184
Female,142,114,5,,,142,142
Female,184,106,3,,,184,184
Female,150,76,2,,,150,150
Female,142,146,5,,,142,142
Female,177,121,4,,,177,177
Female,150,none,5,,,150,150
Female,157,none,5,,,157,157
Female,157,131,5,,,157,157
Female,187,69,4,,,187,187
Female,185,123,5,,,185,185
Female,183,110,5,,,183,183
Female,161,149,5,,,161,161
Female,184,139,5,,,184,184
Female,154,143,5,,,154,154
Female,159,138,4,,,159,159
Female,none,73,2,,,none,none
Female,163,89,4,,,163,163
Female,164,98,3,,,164,164
Female,198,114,4,,,198,198
Female,171,92,3,,,171,171
Female,155,88,2,,,155,155
Female,177,138,5,,,177,177
Female,195,71,3,,,195,195
Female,168,139,4,,,168,168
Female,188,96,4,,,188,188
Female,184,81,2,,,184,184
Female,182,140,5,,,182,182
Female,188,130,5,,,188,188
Female,164,109,5,,,164,164
Female,153,54,2,,,153,153
Female,179,61,1,,,179,179
Female,184,100,5,,,184,184
Female,179,128,4,,,179,179
Female,197,91,5,,,197,197
Female,165,105,3,,,165,165
Female,161,90,3,,,161,161
